place,slug,municipality,province,placecode
Sint-Oedenrode,sint-oedenrode,Meierijstad,Noord-Brabant,2787
Sint-Philipsland,sint-philipsland,Tholen,Zeeland,2078
Sion,sion,Rijswijk,Zuid-Holland,
Sirjansland,sirjansland,Schouwen-Duiveland,Zeeland,2688
Sittard,sittard,Sittard-Geleen,Limburg,3512
Sjungadijk,sjungadijk,Súdwest-Fryslân,Fryslân,
Skillaerd,skillaerd,Leeuwarden,Fryslân,
Skingen,skingen,Waadhoeke,Fryslân,2732
Skoar,skoar,Noardeast-Fryslân,Fryslân,
Skrins,skrins,Leeuwarden,Fryslân,
Skûlenboarch,sklenboarch,Tytsjerksteradiel,Fryslân,
Skyldum,skyldum,Waadhoeke,Fryslân,
Slabroek,slabroek,Maashorst,Noord-Brabant,
Slagharen,slagharen,Hardenberg,Overijssel,1564
Slaperstil,slaperstil,Groningen,Groningen,
Slappeterp,slappeterp,Waadhoeke,Fryslân,2733
Sleeburg,sleeburg,Heumen,Gelderland,
Sleen,sleen,Coevorden,Drenthe,2162
Sleeuwijk,sleeuwijk,Altena,Noord-Brabant,2217
Slegge,slegge,Westerwolde,Groningen,
Slek,slek,Echt-Susteren,Limburg,
Slenaken,slenaken,Gulpen-Wittem,Limburg,1229
Slichtenhorst,slichtenhorst,Nijkerk,Gelderland,
Sliedrecht,sliedrecht,Sliedrecht,Zuid-Holland,2438
Sliffert,sliffert,Eindhoven,Noord-Brabant,
Slijkenburg,slijkenburg,Weststellingwerf,Fryslân,1738
Slijk-Ewijk,slijk-ewijk,Overbetuwe,Gelderland,1871
Slijkplaat,slijkplaat,Sluis,Zeeland,
Slijkwell,slijkwell,Maasdriel,Gelderland,
Slikkenburg,slikkenburg,Bergen op Zoom,Noord-Brabant,
Slikkenburg,slikkenburg,Sluis,Zeeland,
Slikkendam,slikkendam,Nieuwkoop,Zuid-Holland,
Slingenberg,slingenberg,Staphorst,Overijssel,
Slochteren,slochteren,Midden-Groningen,Groningen,1358
Sloot,sloot,Deurne,Noord-Brabant,
Slootdorp,slootdorp,Hollands Kroon,Noord-Holland,2435
Sloten,sloten,De Fryske Marren,Fryslân,1684
Sluipwijk,sluipwijk,Bodegraven-Reeuwijk,Zuid-Holland,
Sluis,sluis,Hulst,Zeeland,
Sluis,sluis,Sluis,Zeeland,2962
Sluis,sluis,Tholen,Zeeland,
Sluis,sluis,Vijfheerenlanden,Utrecht,
Sluis 13,sluis-13,Someren,Noord-Brabant,
Sluis 5,sluis-5,Hardenberg,Overijssel,
Sluis 6,sluis-6,Hardenberg,Overijssel,
Sluis 7,sluis-7,Hardenberg,Overijssel,
Sluis De Piet,sluis-de-piet,Goes,Zeeland,
Sluiskil,sluiskil,Terneuzen,Zeeland,1135
Smakt,smakt,Venray,Limburg,2334
Smal,smal,Bergen,Limburg,
Smalbroek,smalbroek,Midden-Drenthe,Drenthe,
Smalbroek,smalbroek,Midden-Drenthe,Drenthe,
Smalbroek,smalbroek,Westerveld,Drenthe,
Smalle Ee,smalle-ee,Smallingerland,Fryslân,3288
Smallebrugge,smallebrugge,Súdwest-Fryslân,Fryslân,2420
Smedekensbrugge,smedekensbrugge,Sluis,Zeeland,
Smeerling,smeerling,Stadskanaal,Groningen,
Smele,smele,Gennep,Limburg,
Smidstraat,smidstraat,Leudal,Limburg,
Smilde,smilde,Midden-Drenthe,Drenthe,3021
Smitshoek,smitshoek,Barendrecht,Zuid-Holland,
's-Molenaarsbuurt,s-molenaarsbuurt,Alphen aan den Rijn,Zuid-Holland,
Snakkerburen,snakkerburen,Leeuwarden,Fryslân,1200
Sneek,sneek,Súdwest-Fryslân,Fryslân,3504
Sneidershoek,sneidershoek,Eersel,Noord-Brabant,
Snelleveld,snelleveld,West Betuwe,Gelderland,
Snelrewaard,snelrewaard,Oudewater,Utrecht,1912
Snepseind,snepseind,Oirschot,Noord-Brabant,
Snijdersberg,snijdersberg,Meerssen,Limburg,
Snijders-Chaam,snijders-chaam,Alphen-Chaam,Noord-Brabant,
Snikzwaag,snikzwaag,De Fryske Marren,Fryslân,2509
Snodenhoek,snodenhoek,Overbetuwe,Gelderland,
Snorrenhoef,snorrenhoef,Leusden,Utrecht,
Soerendonk,soerendonk,Cranendonck,Noord-Brabant,1569
Soest,soest,Soest,Utrecht,1013
Soestdijk,soestdijk,Baarn,Utrecht,
Soestduinen,soestduinen,Soest,Utrecht,
Soesterberg,soesterberg,Soest,Utrecht,1014
Soeterbeek,soeterbeek,Peel en Maas,Limburg,
Solwerd,solwerd,Eemsdelta,Groningen,
Someren,someren,Someren,Noord-Brabant,2745
Someren-Eind,someren-eind,Someren,Noord-Brabant,
Someren-Heide,someren-heide,Someren,Noord-Brabant,
Sommelsdijk,sommelsdijk,Goeree-Overflakkee,Zuid-Holland,3145
Son,son,Son en Breugel,Noord-Brabant,
Son en Breugel,son-en-breugel,Son en Breugel,Noord-Brabant,3520
Sondel,sondel,De Fryske Marren,Fryslân,1685
Sonnega,sonnega,Weststellingwerf,Fryslân,1739
Sonniuswijk,sonniuswijk,Son en Breugel,Noord-Brabant,
Sopsum,sopsum,Waadhoeke,Fryslân,
Sorremorre,sorremorre,Heerenveen,Fryslân,
Spaanrijt,spaanrijt,Bergeijk,Noord-Brabant,
Spaansehoek,spaansehoek,Goirle,Noord-Brabant,
Spaanshuisken,spaanshuisken,Echt-Susteren,Limburg,
Spaarndam,spaarndam,Haarlem,Noord-Holland,
“Spaarndam gem. Haarlem”,spaarndam-gem-haarlem,Haarlem,Noord-Holland,2908
Spaarndam,spaarndam,Haarlemmermeer,Noord-Holland,3534
Spanbroek,spanbroek,Opmeer,Noord-Holland,2792
Spanga,spanga,Weststellingwerf,Fryslân,1740
Spankeren,spankeren,Rheden,Gelderland,1505
Spannenburg,spannenburg,De Fryske Marren,Fryslân,
Spannum,spannum,Waadhoeke,Fryslân,2030
Sparjebird,sparjebird,Opsterland,Fryslân,
Spaubeek,spaubeek,Beek,Limburg,1671
Speers,speers,Súdwest-Fryslân,Fryslân,
Spekhoek,spekhoek,Voorst,Gelderland,
Spekklef,spekklef,Land van Cuijk,Noord-Brabant,
Spekt,spekt,"Nuenen, Gerwen en Nederwetten",Noord-Brabant,
Spengen,spengen,Stichtse Vecht,Utrecht,
Speuld,speuld,Ermelo,Gelderland,
Speurgt,speurgt,Gemert-Bakel,Noord-Brabant,
Spier,spier,Midden-Drenthe,Drenthe,3022
Spier,spier,Westerveld,Drenthe,3120
Spierdijk,spierdijk,Koggenland,Noord-Holland,1190
Spiesberg,spiesberg,Peel en Maas,Limburg,
Spijk,spijk,Altena,Noord-Brabant,
Spijk,spijk,Eemsdelta,Groningen,
“Spijk Gn”,spijk-gn,Eemsdelta,Groningen,3241
Spijk,spijk,West Betuwe,Gelderland,2356
Spijk,spijk,Zevenaar,Gelderland,2980
Spijkenisse,spijkenisse,Nissewaard,Zuid-Holland,3032
Spijkerboor,spijkerboor,Aa en Hunze,Drenthe,1180
Spijkerboor,spijkerboor,Wormerland,Noord-Holland,2286
Spik,spik,Roermond,Limburg,
Spinolaberg,spinolaberg,Bergen op Zoom,Noord-Brabant,
Spitsbergen,spitsbergen,Midden-Groningen,Groningen,
Spitsendijk,spitsendijk,Heerenveen,Fryslân,
Spoelwijk,spoelwijk,Alphen aan den Rijn,Zuid-Holland,
Sponturfwijk,sponturfwijk,Hardenberg,Overijssel,
Spoolde,spoolde,Zwolle,Overijssel,
Spoorbuurt,spoorbuurt,Hollands Kroon,Noord-Holland,
Spoordonk,spoordonk,Oirschot,Noord-Brabant,
Sprang,sprang,Waalwijk,Noord-Brabant,
Sprang-Capelle,sprang-capelle,Waalwijk,Noord-Brabant,2596
Sprangsevaart,sprangsevaart,Loon op Zand,Noord-Brabant,
Sprong,sprong,Leeuwarden,Fryslân,
Sprundel,sprundel,Rucphen,Noord-Brabant,2583
Spui,spui,Terneuzen,Zeeland,1136
Spurkt,spurkt,Peel en Maas,Limburg,
St. Willebrord,st-willebrord,Rucphen,Noord-Brabant,2584
Stad aan 't Haringvliet,stad-aan-t-haringvliet,Goeree-Overflakkee,Zuid-Holland,3146
Stad van Gerwen,stad-van-gerwen,"Nuenen, Gerwen en Nederwetten",Noord-Brabant,
Stadse Dijk,stadse-dijk,Moerdijk,Noord-Brabant,
Stadskanaal,stadskanaal,Stadskanaal,Groningen,3074
Stadterij,stadterij,Hoogeveen,Drenthe,
Stakenborg,stakenborg,Westerwolde,Groningen,
Stampersgat,stampersgat,Halderberge,Noord-Brabant,1247
Standdaarbuiten,standdaarbuiten,Moerdijk,Noord-Brabant,1324
Staphorst,staphorst,Staphorst,Overijssel,1046
Starnmeer,starnmeer,Alkmaar,Noord-Holland,3555
Startenhuizen,startenhuizen,Het Hogeland,Groningen,3481
Startenhuizen,startenhuizen,Eemsdelta,Groningen,3452
Startwijk,startwijk,Land van Cuijk,Noord-Brabant,
Statenboom,statenboom,Hulst,Zeeland,
Statendam,statendam,Geertruidenberg,Noord-Brabant,
Stationsbuurt,stationsbuurt,Reimerswaal,Zeeland,
Stavenisse,stavenisse,Tholen,Zeeland,2075
Staverden,staverden,Ermelo,Gelderland,
Stavoren,stavoren,Súdwest-Fryslân,Fryslân,1969
Stedum,stedum,Eemsdelta,Groningen,3453
Steeg,steeg,Horst aan de Maas,Limburg,
Steelhoven,steelhoven,Drimmelen,Noord-Brabant,
Steenbergen,steenbergen,De Wolden,Drenthe,
Steenbergen,steenbergen,Noordenveld,Drenthe,3634
Steenbergen,steenbergen,Steenbergen,Noord-Brabant,1405
Steendam,steendam,Midden-Groningen,Groningen,1359
Steenderen,steenderen,Bronckhorst,Gelderland,1526
Steenenkamer,steenenkamer,Putten,Gelderland,
Steenenkamer,steenenkamer,Voorst,Gelderland,2608
Steenenkruis,steenenkruis,Tholen,Zeeland,
Steenhoven,steenhoven,Sluis,Zeeland,
Steenoven,steenoven,Oosterhout,Noord-Brabant,
Steenoven,steenoven,Peel en Maas,Limburg,
Steenovens,steenovens,Terneuzen,Zeeland,
Steenpaal,steenpaal,Rucphen,Noord-Brabant,
Steenplaats,steenplaats,Hoeksche Waard,Zuid-Holland,
Steensel,steensel,Eersel,Noord-Brabant,2995
Steenwijk,steenwijk,Steenwijkerland,Overijssel,2713
Steenwijkerwold,steenwijkerwold,Steenwijkerland,Overijssel,2714
Steenwijksmoer,steenwijksmoer,Coevorden,Drenthe,
Stegen,stegen,Asten,Noord-Brabant,
Stegeren,stegeren,Ommen,Overijssel,2553
Stegerveld,stegerveld,Ommen,Overijssel,
Steggerda,steggerda,Weststellingwerf,Fryslân,1741
Stein,stein,Krimpenerwaard,Zuid-Holland,
Stein,stein,Stein,Limburg,1913
Stellendam,stellendam,Goeree-Overflakkee,Zuid-Holland,2933
Stenenheul,stenenheul,Altena,Noord-Brabant,
Stepelo,stepelo,Haaksbergen,Overijssel,
Sterkenburg,sterkenburg,Utrechtse Heuvelrug,Utrecht,
Sterksel,sterksel,Heeze-Leende,Noord-Brabant,1316
Sterreschans,sterreschans,Lingewaard,Gelderland,
Steurgat,steurgat,Altena,Noord-Brabant,
Stevensbeek,stevensbeek,Land van Cuijk,Noord-Brabant,2084
Stevensweert,stevensweert,Maasgouw,Limburg,1922
Stevert,stevert,Eersel,Noord-Brabant,
Steyl,steyl,Venlo,Limburg,1475
Stieltjeskanaal,stieltjeskanaal,Coevorden,Drenthe,2163
Stiem,stiem,Noardeast-Fryslân,Fryslân,
Stienfek,stienfek,Noardeast-Fryslân,Fryslân,
Stiens,stiens,Leeuwarden,Fryslân,3230
Stipdonk,stipdonk,Someren,Noord-Brabant,
Stiphout,stiphout,Helmond,Noord-Brabant,
Stitswerd,stitswerd,Het Hogeland,Groningen,3482
Stobben,stobben,Westerwolde,Groningen,
Stokhem,stokhem,Gulpen-Wittem,Limburg,
Stokkelaarsbrug,stokkelaarsbrug,De Ronde Venen,Utrecht,
Stokkelen,stokkelen,Eersel,Noord-Brabant,
Stokkum,stokkum,Hof van Twente,Overijssel,
Stokkum,stokkum,Montferland,Gelderland,2210
Stokske,stokske,Oisterwijk,Noord-Brabant,
Stokt,stokt,Horst aan de Maas,Limburg,
Stolpen,stolpen,Schagen,Noord-Holland,
Stolpervlotbrug,stolpervlotbrug,Schagen,Noord-Holland,
Stolwijk,stolwijk,Krimpenerwaard,Zuid-Holland,2388
Stolwijkersluis,stolwijkersluis,Gouda,Zuid-Holland,
Stommeveld,stommeveld,Meerssen,Limburg,
Stompetoren,stompetoren,Alkmaar,Noord-Holland,1890
Stompwijk,stompwijk,Leidschendam-Voorburg,Zuid-Holland,
Stoof,stoof,Halderberge,Noord-Brabant,
Stootshorn,stootshorn,Midden-Groningen,Groningen,
Stoppeldijkveer,stoppeldijkveer,Hulst,Zeeland,
Stork,stork,Eemsdelta,Groningen,
Stoutenburg,stoutenburg,Leusden,Utrecht,2639
Stoutenburg Noord,stoutenburg-noord,Amersfoort,Utrecht,1667
Stox,stox,Peel en Maas,Limburg,
Straat,straat,Roermond,Limburg,
Strabrecht,strabrecht,Heeze-Leende,Noord-Brabant,
Stramproy,stramproy,Weert,Limburg,1975
Strand,strand,Súdwest-Fryslân,Fryslân,
Straten,straten,Oirschot,Noord-Brabant,
Strateris,strateris,Nederweert,Limburg,
Streefkerk,streefkerk,Molenlanden,Zuid-Holland,1805
Streek,streek,Aa en Hunze,Drenthe,
Strepen,strepen,Maashorst,Noord-Brabant,
Streukel,streukel,Zwartewaterland,Overijssel,
Strijbeek,strijbeek,Alphen-Chaam,Noord-Brabant,3435
Strijen,strijen,Hoeksche Waard,Zuid-Holland,2797
Strijenham,strijenham,Tholen,Zeeland,
Strijensas,strijensas,Hoeksche Waard,Zuid-Holland,2798
Strijp,strijp,Laarbeek,Noord-Brabant,
Strijp,strijp,Rijswijk,Zuid-Holland,
Strikberg,strikberg,Breda,Noord-Brabant,
Stroe,stroe,Barneveld,Gelderland,1059
Stroet,stroet,Schagen,Noord-Holland,
Stroobos,stroobos,Achtkarspelen,Fryslân,3180
Stroodorp,stroodorp,Noord-Beveland,Zeeland,
Stroodorpe,stroodorpe,Terneuzen,Zeeland,
Strooiendorp,strooiendorp,Moerdijk,Noord-Brabant,
Strooienstad,strooienstad,Hulst,Zeeland,
Stroopuit,stroopuit,Sluis,Zeeland,
Strubben,strubben,Leudal,Limburg,
Strucht,strucht,Valkenburg aan de Geul,Limburg,
Struikberg,struikberg,De Wolden,Drenthe,
Strype,strype,Voorne aan Zee,Zuid-Holland,
Stuifakker,stuifakker,Voorne aan Zee,Zuid-Holland,
Stuifzand,stuifzand,Hoogeveen,Drenthe,1819
Stuifzand,stuifzand,Midden-Drenthe,Drenthe,3023
Stuivezand,stuivezand,Drimmelen,Noord-Brabant,
Stuivezand,stuivezand,Zundert,Noord-Brabant,
Sumar,sumar,Tytsjerksteradiel,Fryslân,2453
Sumarreheide,sumarreheide,Tytsjerksteradiel,Fryslân,
Surhuisterveen,surhuisterveen,Achtkarspelen,Fryslân,3181
Surhuizum,surhuizum,Achtkarspelen,Fryslân,3182
Surhuizumer Mieden,surhuizumer-mieden,Achtkarspelen,Fryslân,
Susteren,susteren,Echt-Susteren,Limburg,2045
Suttum,suttum,Westerkwartier,Groningen,
Suwâld,suwld,Tytsjerksteradiel,Fryslân,2448
Swaenwert,swaenwert,Súdwest-Fryslân,Fryslân,
Swalmen,swalmen,Roermond,Limburg,2283
Swartbroek,swartbroek,Weert,Limburg,
Sweagerbosk,sweagerbosk,Noardeast-Fryslân,Fryslân,3318
Sweikhuizen,sweikhuizen,Beekdaelen,Limburg,2104
Swichum,swichum,Leeuwarden,Fryslân,1204
Swier,swier,Beekdaelen,Limburg,
Swifterbant,swifterbant,Dronten,Flevoland,2431
Swolgen,swolgen,Horst aan de Maas,Limburg,1859
Sytebuorren,sytebuorren,Smallingerland,Fryslân,
Sythuizen,sythuizen,De Fryske Marren,Fryslân,
Taarlo,taarlo,Tynaarlo,Drenthe,2918
Tappersheul,tappersheul,Oudewater,Utrecht,
Tasdijk,tasdijk,Hulst,Zeeland,
Teckop,teckop,Woerden,Utrecht,
Teeffelen,teeffelen,Oss,Noord-Brabant,3472
Teerns,teerns,Leeuwarden,Fryslân,1203
Teersdijk,teersdijk,Wijchen,Gelderland,
Tegelen,tegelen,Venlo,Limburg,1474
Teijlingen,teijlingen,Teylingen,Zuid-Holland,
Telgt,telgt,Ermelo,Gelderland,
Tempel,tempel,Bodegraven-Reeuwijk,Zuid-Holland,
Ten Arlo,ten-arlo,De Wolden,Drenthe,
Ten Boer,ten-boer,Groningen,Groningen,1829
Ten Have,ten-have,Westerveld,Drenthe,
Ten Post,ten-post,Groningen,Groningen,1830
Ten Vorsel,ten-vorsel,Bladel,Noord-Brabant,
Ter Aalst,ter-aalst,Oosterhout,Noord-Brabant,
Ter Aar,ter-aar,Nieuwkoop,Zuid-Holland,2673
Ter Aard,ter-aard,Assen,Drenthe,2394
Ter Apel,ter-apel,Westerwolde,Groningen,2296
Ter Apelkanaal,ter-apelkanaal,Westerwolde,Groningen,2297
Ter Borg,ter-borg,Westerwolde,Groningen,
Ter Haar,ter-haar,Westerwolde,Groningen,
Ter Heijde,ter-heijde,Westland,Zuid-Holland,2663
Ter Horst,ter-horst,Midden-Drenthe,Drenthe,
Ter Idzard,ter-idzard,Weststellingwerf,Fryslân,1742
Ter Laan,ter-laan,Het Hogeland,Groningen,
Ter Lucht,ter-lucht,Midden-Delfland,Zuid-Holland,
Ter Maarsch,ter-maarsch,Stadskanaal,Groningen,
Ter Walslage,ter-walslage,Westerwolde,Groningen,
Ter Wisch,ter-wisch,Westerwolde,Groningen,
Ter Wupping,ter-wupping,Stadskanaal,Groningen,
Terband,terband,Heerenveen,Fryslân,2182
Terblijt (?),terblijt-,Valkenburg aan de Geul,Limburg,
Terborg,terborg,Oude IJsselstreek,Gelderland,1577
Terbregge (?),terbregge-,Rotterdam,Zuid-Holland,
Terdiek,terdiek,Hollands Kroon,Noord-Holland,
Tereyken,tereyken,Gemert-Bakel,Noord-Brabant,
Tergrêft,tergrft,Noardeast-Fryslân,Fryslân,
Tergrêft,tergrft,Tytsjerksteradiel,Fryslân,
Terhagen,terhagen,Stein,Limburg,
Terheijden,terheijden,Drimmelen,Noord-Brabant,2578
Terheijl,terheijl,Noordenveld,Drenthe,
Terhofstede,terhofstede,Sluis,Zeeland,
Terhorne,terhorne,De Fryske Marren,Fryslân,2537
Terhole,terhole,Hulst,Zeeland,3096
Terhorst,terhorst,Eijsden-Margraten,Limburg,
Terkaple,terkaple,De Fryske Marren,Fryslân,2510
Terlet,terlet,Rozendaal,Gelderland,
Terlinden,terlinden,Eijsden-Margraten,Limburg,
Termaar,termaar,Eijsden-Margraten,Limburg,
Termaar,termaar,Voerendaal,Limburg,
Termoors,termoors,Voerendaal,Limburg,
Termunten,termunten,Eemsdelta,Groningen,3242
Termunterzijl,termunterzijl,Eemsdelta,Groningen,3243
Ternaard,ternaard,Noardeast-Fryslân,Fryslân,3411
Terneuzen,terneuzen,Terneuzen,Zeeland,1137
Teroele,teroele,De Fryske Marren,Fryslân,2511
Terover,terover,Alphen-Chaam,Noord-Brabant,
Terpoorten,terpoorten,Gulpen-Wittem,Limburg,
Terschuur,terschuur,Barneveld,Gelderland,3598
Tersoal,tersoal,Súdwest-Fryslân,Fryslân,
Tersoal,tersoal,Súdwest-Fryslân,Fryslân,2538
Terstraten,terstraten,Beekdaelen,Limburg,
Tervaten,tervaten,Goes,Zeeland,
Tervoorst,tervoorst,Beekdaelen,Limburg,
Tervoort,tervoort,Breda,Noord-Brabant,
Terwispel,terwispel,Opsterland,Fryslân,3355
Terwisscha,terwisscha,Ooststellingwerf,Fryslân,
Terwolde,terwolde,Voorst,Gelderland,2609
Terziet,terziet,Gulpen-Wittem,Limburg,
Teteringen,teteringen,Breda,Noord-Brabant,3623
Teuge,teuge,Voorst,Gelderland,2610
Teyebuorren,teyebuorren,Noardeast-Fryslân,Fryslân,
Theetuin,theetuin,Oirschot,Noord-Brabant,
Themaat,themaat,Utrecht,Utrecht,
Thesinge,thesinge,Groningen,Groningen,1832
Tholen,tholen,Tholen,Zeeland,2071
Thorn,thorn,Maasgouw,Limburg,1916
Thull,thull,Beekdaelen,Limburg,
Thuserhof,thuserhof,Roermond,Limburg,
Tichelwurk,tichelwurk,Leeuwarden,Fryslân,
Tiel,tiel,Tiel,Gelderland,3601
Tielse Hoeve,tielse-hoeve,Sint-Michielsgestel,Noord-Brabant,
Tiendeveen,tiendeveen,Hoogeveen,Drenthe,1820
Tiendeveen,tiendeveen,Midden-Drenthe,Drenthe,3024
Tiengeboden,tiengeboden,Berg en Dal,Gelderland,
Tiengemeten,tiengemeten,Hoeksche Waard,Zuid-Holland,
Tienhoven,tienhoven,Stichtse Vecht,Utrecht,2065
Tienhoven aan de Lek,tienhoven-aan-de-lek,Vijfheerenlanden,Utrecht,2107
Tienhoven,tienhoven,Vijfheerenlanden,Utrecht,
Tienray,tienray,Horst aan de Maas,Limburg,1860
Tiggelt,tiggelt,Zundert,Noord-Brabant,
Tiggeltscheberg,tiggeltscheberg,Zundert,Noord-Brabant,
Tijnje,tijnje,Opsterland,Fryslân,3356
Tilbuorren,tilbuorren,Noardeast-Fryslân,Fryslân,
Tilburg,tilburg,Tilburg,Noord-Brabant,1043
Tilligte,tilligte,Dinkelland,Overijssel,1416
Timmereind,timmereind,Waalre,Noord-Brabant,
Tinallinge,tinallinge,Het Hogeland,Groningen,2473
Tinte,tinte,Voorne aan Zee,Zuid-Holland,1211
Tirns,tirns,Súdwest-Fryslân,Fryslân,3591
Tjaard,tjaard,Leeuwarden,Fryslân,
Tjalhuizum,tjalhuizum,Súdwest-Fryslân,Fryslân,2422
Tjabbesstreek,tjabbesstreek,Westerwolde,Groningen,
Tjalleberd,tjalleberd,Heerenveen,Fryslân,2184
Tjamsweer,tjamsweer,Eemsdelta,Groningen,
Tjeintgum,tjeintgum,Leeuwarden,Fryslân,
Tjeppenboer,tjeppenboer,Waadhoeke,Fryslân,
Tjerkgaast,tjerkgaast,De Fryske Marren,Fryslân,2512
Tjerkwerd,tjerkwerd,Súdwest-Fryslân,Fryslân,2324
Tjoene,tjoene,Deventer,Overijssel,
Tjuchem,tjuchem,Midden-Groningen,Groningen,1360
Tolbert,tolbert,Westerkwartier,Groningen,2345
Toldijk,toldijk,Bronckhorst,Gelderland,1531
Tolkamer,tolkamer,Zevenaar,Gelderland,2981
Tollebeek,tollebeek,Noordoostpolder,Flevoland,1279
Tommel,tommel,Baarle-Nassau,Noord-Brabant,
Tonden,tonden,Brummen,Gelderland,1110
Tongeren,tongeren,Boxtel,Noord-Brabant,
Tongeren,tongeren,Epe,Gelderland,
Tongerlo,tongerlo,Horst aan de Maas,Limburg,
Tongerlo,tongerlo,Peel en Maas,Limburg,
Tonnekreek,tonnekreek,Moerdijk,Noord-Brabant,
Tonsel,tonsel,Ermelo,Gelderland,
Toom,toom,Cranendonck,Noord-Brabant,
Toornwerd,toornwerd,Eemsdelta,Groningen,3454
Topweer,topweer,Westerkwartier,Groningen,
Torenveen,torenveen,Aa en Hunze,Drenthe,
Toterfout,toterfout,Veldhoven,Noord-Brabant,
Toven,toven,Land van Cuijk,Noord-Brabant,
Tragel,tragel,Sluis,Zeeland,
Tranendal,tranendal,Oldambt,Groningen,
Tregelaar,tregelaar,Oirschot,Noord-Brabant,
Trent,trent,Maashorst,Noord-Brabant,
Tricht,tricht,West Betuwe,Gelderland,3531
Trijeboerehuzen,trijeboerehuzen,Noardeast-Fryslân,Fryslân,
Trijehuzen,trijehuzen,Súdwest-Fryslân,Fryslân,
Trimpert,trimpert,Geldrop-Mierlo,Noord-Brabant,
Trintelen,trintelen,Gulpen-Wittem,Limburg,
Tripscompagnie,tripscompagnie,Midden-Groningen,Groningen,2276
Tripscompagnie,tripscompagnie,Veendam,Groningen,
Tritzum,tritzum,Waadhoeke,Fryslân,
Tronde,tronde,Ooststellingwerf,Fryslân,
Trophorne,trophorne,De Fryske Marren,Fryslân,
Trutjeshoek (?),trutjeshoek-,Kampen,Overijssel,
Trutjeshoek,trutjeshoek,Oldebroek,Gelderland,
Tsienzerbuorren,tsienzerbuorren,Leeuwarden,Fryslân,
Tsjerkebuorren,tsjerkebuorren,Súdwest-Fryslân,Fryslân,
Tubbergen,tubbergen,Tubbergen,Overijssel,1294
Tuil,tuil,West Betuwe,Gelderland,3366
Tuindorp,tuindorp,Bergen,Limburg,
Tuitjenhorn,tuitjenhorn,Schagen,Noord-Holland,3292
Tuk,tuk,Steenwijkerland,Overijssel,2715
Tull en 't Waal,tull-en-t-waal,Houten,Utrecht,2055
Tungelroy,tungelroy,Weert,Limburg,
Turkeije,turkeije,Sluis,Zeeland,
Tusschen de Bruggen,tusschen-de-bruggen,Roerdalen,Limburg,
Tusschenloegen,tusschenloegen,Midden-Groningen,Groningen,
Tussenklappen,tussenklappen,Midden-Groningen,Groningen,
Tussenlanen,tussenlanen,Krimpenerwaard,Zuid-Holland,
Tusveld,tusveld,Almelo,Overijssel,
Tuuthees,tuuthees,Land van Cuijk,Noord-Brabant,
Tweede Dwarsdiep,tweede-dwarsdiep,Aa en Hunze,Drenthe,
Tweede Tol,tweede-tol,Dordrecht,Zuid-Holland,
Tweehuizen,tweehuizen,Eemsdelta,Groningen,
Tweesluizen,tweesluizen,Buren,Gelderland,
Twekkelo,twekkelo,Enschede,Overijssel,
Twello,twello,Voorst,Gelderland,2611
Twijzel,twijzel,Achtkarspelen,Fryslân,3183
Twijzelerheide,twijzelerheide,Achtkarspelen,Fryslân,3184
Twisk,twisk,Medemblik,Noord-Holland,3157
Tynaarlo,tynaarlo,Tynaarlo,Drenthe,2919
Tytsjerk,tytsjerk,Tytsjerksteradiel,Fryslân,2447
Tzum,tzum,Waadhoeke,Fryslân,1362
Tzummarum,tzummarum,Waadhoeke,Fryslân,1377
Ubach over Worms,ubach-over-worms,Landgraaf,Limburg,
Ubachsberg,ubachsberg,Voerendaal,Limburg,
Ubbena,ubbena,Assen,Drenthe,2395
Ubbergen,ubbergen,Berg en Dal,Gelderland,2879
Ubroek,ubroek,Venlo,Limburg,
Uddel,uddel,Apeldoorn,Gelderland,3562
Uden,uden,Maashorst,Noord-Brabant,1847
Udenhout,udenhout,Tilburg,Noord-Brabant,1045
Uffelsen,uffelsen,Leudal,Limburg,
Uffelte,uffelte,Westerveld,Drenthe,3121
Ugchelen,ugchelen,Apeldoorn,Gelderland,2256
Uilesprong,uilesprong,Opsterland,Fryslân,
Uitdam,uitdam,Waterland,Noord-Holland,1947
Uiteinde,uiteinde,Eemsdelta,Groningen,
Uiteinde,uiteinde,Smallingerland,Fryslân,
Uiterburen,uiterburen,Midden-Groningen,Groningen,
Uitgeest,uitgeest,Uitgeest,Noord-Holland,2755
Uithoorn,uithoorn,Uithoorn,Noord-Holland,2062
Uithuizen,uithuizen,Het Hogeland,Groningen,3483
Uithuizermeeden,uithuizermeeden,Het Hogeland,Groningen,3484
Uitweg,uitweg,Lopik,Utrecht,
Uitwellingerga,uitwellingerga,Súdwest-Fryslân,Fryslân,2423
Uitwierde,uitwierde,Eemsdelta,Groningen,
Uitwijk,uitwijk,Altena,Noord-Brabant,3304
Ulestraten,ulestraten,Meerssen,Limburg,1465
Ulft,ulft,Oude IJsselstreek,Gelderland,1580
Ulfterhoek,ulfterhoek,Horst aan de Maas,Limburg,
Ulicoten,ulicoten,Baarle-Nassau,Noord-Brabant,2884
Ullingen,ullingen,Land van Cuijk,Noord-Brabant,
Ulrum,ulrum,Het Hogeland,Groningen,3425
Ulsda,ulsda,Oldambt,Groningen,
Ulvend,ulvend,Eijsden-Margraten,Limburg,
Ulvenhout,ulvenhout,Breda,Noord-Brabant,1704
